Date,Work Summary
2026-05-05,"Special_pathlab_frontend: feat(confimation): logout confirmation for hospital user; feat(enable,disable): enable,disable confirmation for lab admin list; feat(enable,disable): enable,disable confirmation in hospital and test lists; feat(confirmation): test request cancel confirmation pop up; config(indicator):dev indicator removed; UI(lists): remove unneccessary medical signs; feat(logout):logout confirmation popup; feat(nav): profile link attached to the avatar circle"
2026-05-06,Special_pathlab_frontend: fix(filetype): different file types enabled for insert/view/update/delete; feat(attachment): update and delete attachment; feat(image): view images from firebase; fix(firebase): firebase stuff removed.; feat(firebase): file upload to firebase pages.; feat(file upload): file upload to the firebase
2026-05-07,Avantio_Frontend: commit(1):repo initialize | Special_pathlab_frontend: fix(upload report): after upload xlsx error report; feat(xlsx upload): xslx files can be uploaded by lab; fix(build): build related issues fixed.
2026-05-08,"Avantio_Frontend: files(css):spereate css files added | Special_pathlab_frontend: fix(upload): upload not completing issue fixed; fix(upload-UI):upload UI error fixed, some image imports fixed as well."
2026-05-11,"Avantio_Frontend: page(home): home page finalized; page(password,home): password code modularized, sample home added; feat(forgot-password): forgot password feature added.; repo(update): remote repo updated. changes committed to root-2; repo(update): remote repo updated. changes committed to root."
2026-05-12,Avantio_Frontend: feat(studio): sample stuio added; Merge pull request #2 from softwaredevteam01/feat/pasan/super-admin; feat(admin logout): admin logout feature added to the admin header; Merge pull request #1 from softwaredevteam01/feat/pasan/super-admin; feat(user manage): user management feature integrated; feat(super admin): sample super admin login and dashboard | Avatio_Frontend_Admin: hotfix(admiin): remover user content and secure login portal only accesible for admin; initial(setupd): initial setup commited
2026-05-13,"Avantio_Frontend: Merge pull request #3 from softwaredevteam01/feat/pasan/studio; feat(design):sample logo and text adding feature added.; hotfix(user): admin login removed, only user login exsists"
2026-05-14,"Avantio_Frontend: fix(header): login span fixed; Merge pull request #4 from softwaredevteam01/feat/pasan/studio; fix(studiocamera): tshirt studio 3d camera rotation limited for hide the depth changes.; fix(header): navigation issues fixed.; feat(screenshot): screenshots can be taken on the design; fix(side views): depth changing feature added. left,right alignment not working fixed"
2026-05-15,Avantio_Frontend: unfixed(polo-shirt): need base colorpolo shirt to take effecr.
2026-05-18,Avantio_Frontend: feat(sample-shop): sample shop pages added.; Merge pull request #7 from softwaredevteam01/feat/pasan/studio; feat(sample-shop): sample shop pages were added.; Merge pull request #6 from softwaredevteam01/feat/pasan/studio; feat(sample-order-quotation): sample pages for order and quotations are added.; feat(sample-oder-quot): sample quotation and order pages with mock dates; Merge pull request #5 from softwaredevteam01/feat/pasan/studio; feat(sample-profile): sample profile page added.; feat(sample-profile): sample profile page added; feat(sample-orders): sample orders page added; feat(sample-orders): sample order pages added.
2026-05-19,"Avantio_Frontend: fix(merge): merge conflicts fixed.; Merge pull request #10 from softwaredevteam01/feat/pasan/studio-polo; Merge branch 'main' into feat/pasan/studio-polo; feat(API): color, size material, print method getting apis integrated.; feat(POLO,TSHIRT): both models were get in to a single branch.; fix(polo.glb): plain T shirt model found.; Merge pull request #9 from softwaredevteam01/feat/pasan/studio; feat(auth-rotes): auth rotes added to the new pages.; feat(auth): auth was added to newly created pages.; feat(sample-checkout): sample checkout pages added.; Merge pull request #8 from softwaredevteam01/feat/pasan/studio; feat(sample-checkout): sample checkout pages added."
2026-05-20,Avantio_Frontend: feat(get-saved): get saved design by id api integrated.; feat(saved-designs): save design listing api added.; feat(saved): saved design page added.; feat(order): place order / save order features added.; feat(screenshot): screenshot get captured and send to the firebase.; feat(firebase): firebase file added; feat(firebase): firebase module added-1
2026-05-21,Avantio_Frontend: caution(order-histroy): order histroy page created. apis needed to be changed.; feat(update-design): update design feature added.
2026-05-25,Avantio_Frontend: UX(pagination): pagination facility added for the order and design list pages.; feat(dashboard): dashboard data from real API data-2; feat(dashboard): dashboard deatils added from real API data-1; feat(profile): profile page APIS integrated.; feat(design-api): new design api integrated
2026-05-26,"Avantio_Frontend: fix(build): build error fixed.; fix(payment): payment model visibility fixed.; feat(payment): payment api added and order page simplified.; feat(payment,rejection): customer pay or reject quotation).; fix(order-page): order page reestablished.; fix(dasboard): fix dashboard orders and profile details not showing up.; Merge pull request #11 from softwaredevteam01/feat/pasan/new-studio; feat(handbands,collar): colors applied seperately for the collar and handbands.; new(polo-model): new polo model added."
2026-05-27,Avantio_Frontend: fix(footer): footer details updated.; fix(favicon): favicon changed to avantio; fix(shop): sample shop page mobile optimized; feat(dashboard): dashboard details completed.; feat(single-order): single order can view by id; Merge pull request #12 from softwaredevteam01/feat/pasan/studio-mobile-responsive; feat(studio-mobile): studio page optimized for mobile view
2026-05-28,"Avantio_Frontend: feat(payment): payment status issues fixed, new page added to show single payment.; fix(edit-studio): proceed button relocated; fix(quotatio-status): quotation status pending issue fixed; fix(profile): profile page mobile optimized; fix(model): only POLO T shirt model is appear in the edit studio.; fix(img): image loading warnings fixed; fix(model,proceed): tshirt removed, proceed button relocated"
2026-05-29,"Avantio_Frontend: fix(quotation): quotation view updated.; feat(payment): new payment api and the schemas introduced.; fix(payment): get payment by id updated; fix(identation,editor): fixed the indentation and editor errors; fix(identation): identation fixed; fix(identation): identation and editor level issues fixed in pages.; fix(payment): add missed payment details and fixed build related issues"
2026-06-01,"Avantio_Frontend: Merge pull request #13 from softwaredevteam01/feat/pasan/studio-mobile; feat(mobile-studio): design studios are mobile optimized; feat(studio,send): studio right panel validations & pdfs not shwoing up @edit-send fixed; feat(studio): new studio with image overlay feature added"
2026-06-02,"Avantio_Frontend: UI(confirmation): confirmation model added.; feat(resend-otp): otp resend feature added for the login; feat(order-dashboard): order dashboard quotation expired; feat(quotation): quotation expired feature added.; feat(re-payment): payment slip reupload function added; fix(images): left,right images shows in send pages and proceed button mves to product tab."
2026-06-03,Avantio_Frontend: fix(protected): protected route added for the desgn library.; Merge pull request #14 from softwaredevteam01/feat/pasan/UI-1; feat(toast): toast messages added.
2026-06-04,Avantio_Frontend: fix(npm): npm audit force fixed
