Date,Repository,Commit
2026-05-05,Special_pathlab_frontend,feat(confimation): logout confirmation for hospital user
2026-05-05,Special_pathlab_frontend,"feat(enable,disable): enable,disable confirmation for lab admin list"
2026-05-05,Special_pathlab_frontend,"feat(enable,disable): enable,disable confirmation in hospital and test lists"
2026-05-05,Special_pathlab_frontend,feat(confirmation): test request cancel confirmation pop up
2026-05-05,Special_pathlab_frontend,config(indicator):dev indicator removed
2026-05-05,Special_pathlab_frontend,UI(lists): remove unneccessary medical signs
2026-05-05,Special_pathlab_frontend,feat(logout):logout confirmation popup
2026-05-05,Special_pathlab_frontend,feat(nav): profile link attached to the avatar circle
2026-05-06,Special_pathlab_frontend,fix(filetype): different file types enabled for insert/view/update/delete
2026-05-06,Special_pathlab_frontend,feat(attachment): update and delete attachment
2026-05-06,Special_pathlab_frontend,feat(image): view images from firebase
2026-05-06,Special_pathlab_frontend,fix(firebase): firebase stuff removed.
2026-05-06,Special_pathlab_frontend,feat(firebase): file upload to firebase pages.
2026-05-06,Special_pathlab_frontend,feat(file upload): file upload to the firebase
2026-05-07,Avantio_Frontend,commit(1):repo initialize
2026-05-07,Special_pathlab_frontend,fix(upload report): after upload xlsx error report
2026-05-07,Special_pathlab_frontend,feat(xlsx upload): xslx files can be uploaded by lab
2026-05-07,Special_pathlab_frontend,fix(build): build related issues fixed.
2026-05-08,Avantio_Frontend,files(css):spereate css files added
2026-05-08,Special_pathlab_frontend,fix(upload): upload not completing issue fixed
2026-05-08,Special_pathlab_frontend,"fix(upload-UI):upload UI error fixed, some image imports fixed as well."
2026-05-11,Avantio_Frontend,page(home): home page finalized
2026-05-11,Avantio_Frontend,"page(password,home): password code modularized, sample home added"
2026-05-11,Avantio_Frontend,feat(forgot-password): forgot password feature added.
2026-05-11,Avantio_Frontend,repo(update): remote repo updated. changes committed to root-2
2026-05-11,Avantio_Frontend,repo(update): remote repo updated. changes committed to root.
2026-05-12,Avantio_Frontend,feat(studio): sample stuio added
2026-05-12,Avantio_Frontend,Merge pull request #2 from softwaredevteam01/feat/pasan/super-admin
2026-05-12,Avantio_Frontend,feat(admin logout): admin logout feature added to the admin header
2026-05-12,Avantio_Frontend,Merge pull request #1 from softwaredevteam01/feat/pasan/super-admin
2026-05-12,Avantio_Frontend,feat(user manage): user management feature integrated
2026-05-12,Avantio_Frontend,feat(super admin): sample super admin login and dashboard
2026-05-12,Avatio_Frontend_Admin,hotfix(admiin): remover user content and secure login portal only accesible for admin
2026-05-12,Avatio_Frontend_Admin,initial(setupd): initial setup commited
